Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,Playoffs,Playoffs_S
Detroit Pistons,80.0,240.0,43.4,106.3,0.409,,,,43.4,106.3,0.409,23.5,34.2,0.687,,,67.8,19.6,,,,25.2,110.3,1966,False,False
League Average,80.0,240.5,44.3,102.4,0.433,,,,44.3,102.4,0.433,26.9,37.0,0.727,,,68.2,22.9,,,,26.2,115.5,1966,False,False
Los Angeles Lakers,14.0,241.8,45.2,98.1,0.461,,,,45.2,98.1,0.461,26.2,34.0,0.771,,,54.9,22.2,,,,25.6,116.6,1966,,True
Boston Celtics,17.0,242.9,43.2,99.5,0.435,,,,43.2,99.5,0.435,29.4,38.3,0.767,,,67.8,21.6,,,,28.5,115.8,1966,,True
St. Louis Hawks,10.0,240.0,43.2,96.6,0.447,,,,43.2,96.6,0.447,27.6,37.1,0.744,,,59.7,25.1,,,,24.7,114.0,1966,,True
Cincinnati Royals,5.0,240.0,39.2,92.4,0.424,,,,39.2,92.4,0.424,31.8,39.8,0.799,,,62.8,15.8,,,,28.4,110.2,1966,,True
Baltimore Bullets,3.0,240.0,44.7,96.0,0.465,,,,44.7,96.0,0.465,18.3,30.0,0.611,,,62.7,18.0,,,,30.7,107.7,1966,,True
Philadelphia 76ers,5.0,245.0,38.8,100.4,0.386,,,,38.8,100.4,0.386,26.4,40.6,0.65,,,72.2,19.2,,,,28.6,104.0,1966,,True
League Average,9.0,241.9,43.0,97.8,0.44,,,,43.0,97.8,0.44,27.6,36.9,0.748,,,62.6,21.5,,,,27.1,113.6,1966,,True
Philadelphia 76ers,81.0,240.9,48.3,100.0,0.483,,,,48.3,100.0,0.483,28.6,42.1,0.68,,,70.4,26.4,,,,23.5,125.2,1967,True,False
San Francisco Warriors,81.0,241.9,47.1,108.9,0.433,,,,47.1,108.9,0.433,28.2,37.3,0.756,,,73.8,23.2,,,,26.2,122.4,1967,True,False
Los Angeles Lakers,81.0,241.5,46.7,104.5,0.447,,,,46.7,104.5,0.447,27.1,36.0,0.751,,,66.9,23.5,,,,26.8,120.5,1967,True,False
Boston Celtics,81.0,242.2,46.0,102.8,0.447,,,,46.0,102.8,0.447,27.4,36.6,0.748,,,70.4,24.2,,,,26.4,119.3,1967,True,False
Cincinnati Royals,81.0,240.9,45.1,100.5,0.449,,,,45.1,100.5,0.449,26.9,34.6,0.777,,,64.2,22.9,,,,25.6,117.1,1967,True,False
New York Knicks,81.0,240.6,44.9,99.1,0.453,,,,44.9,99.1,0.453,26.6,36.8,0.722,,,63.9,22.0,,,,26.0,116.4,1967,True,False
Baltimore Bullets,81.0,241.2,45.2,105.9,0.427,,,,45.2,105.9,0.427,25.0,34.2,0.731,,,66.0,20.4,,,,26.6,115.5,1967,False,False
St. Louis Hawks,81.0,241.2,43.8,98.8,0.443,,,,43.8,98.8,0.443,26.0,36.8,0.708,,,64.4,21.1,,,,26.8,113.6,1967,True,False
Chicago Bulls,81.0,240.6,44.0,105.0,0.419,,,,44.0,105.0,0.419,25.1,34.4,0.732,,,65.4,22.6,,,,27.2,113.2,1967,True,False
Detroit Pistons,81.0,241.9,43.5,105.5,0.412,,,,43.5,105.5,0.412,24.3,33.6,0.723,,,68.0,18.1,,,,27.1,111.3,1967,False,False
League Average,81.0,241.3,45.5,103.1,0.441,,,,45.5,103.1,0.441,26.5,36.2,0.732,,,67.3,22.4,,,,26.2,117.4,1967,False,False
Philadelphia 76ers,15.0,241.7,46.9,104.2,0.45,,,,46.9,104.2,0.45,27.8,41.7,0.666,,,74.3,26.7,,,,22.4,121.7,1967,,True
San Francisco Warriors,15.0,241.7,46.9,112.0,0.419,,,,46.9,112.0,0.419,24.4,34.3,0.712,,,75.6,23.0,,,,29.1,118.3,1967,,True
Boston Celtics,9.0,240.0,45.4,109.3,0.416,,,,45.4,109.3,0.416,24.8,33.6,0.738,,,71.3,24.6,,,,28.6,115.7,1967,,True
St. Louis Hawks,9.0,240.0,40.0,98.0,0.408,,,,40.0,98.0,0.408,34.4,45.4,0.758,,,70.9,20.6,,,,25.7,114.4,1967,,True
New York Knicks,4.0,240.0,43.5,110.3,0.395,,,,43.5,110.3,0.395,25.5,33.8,0.756,,,72.0,22.8,,,,30.8,112.5,1967,,True
Los Angeles Lakers,3.0,240.0,42.3,103.3,0.41,,,,42.3,103.3,0.41,23.7,31.3,0.755,,,61.7,22.7,,,,24.3,108.3,1967,,True
Cincinnati Royals,4.0,240.0,45.0,100.5,0.448,,,,45.0,100.5,0.448,15.5,20.0,0.775,,,59.3,25.3,,,,22.8,105.5,1967,,True
Chicago Bulls,3.0,240.0,41.3,97.7,0.423,,,,41.3,97.7,0.423,21.7,29.7,0.73,,,55.7,17.7,,,,29.0,104.3,1967,,True
League Average,8.0,240.8,44.9,105.7,0.424,,,,44.9,105.7,0.424,26.1,36.3,0.719,,,71.1,23.6,,,,26.4,115.8,1967,,True
Pittsburgh Pipers,78.0,241.0,41.4,96.5,0.429,3.1,10.1,0.308,38.3,86.4,0.443,26.0,36.4,0.714,,,54.6,15.9,,,16.8,23.7,111.9,1968,True,False
New Orleans Buccaneers,78.0,241.3,41.1,96.4,0.426,0.7,2.8,0.241,40.4,93.6,0.432,28.8,38.5,0.748,,,57.1,17.4,,,18.2,23.6,111.7,1968,True,False
Anaheim Amigos,78.0,241.0,40.7,97.5,0.417,2.8,9.2,0.306,37.9,88.3,0.429,27.4,37.4,0.734,,,53.3,16.6,,,19.4,27.9,111.6,1968,False,False
New Jersey Americans,78.0,240.3,40.9,99.1,0.413,1.6,5.8,0.274,39.3,93.2,0.421,27.4,36.9,0.743,,,52.2,15.4,,,15.8,26.3,110.8,1968,False,False
Oakland Oaks,78.0,241.3,41.2,98.5,0.419,1.3,4.5,0.292,39.9,93.9,0.425,27.0,36.5,0.74,,,53.4,14.7,,,18.3,25.1,110.8,1968,False,False
Dallas Chaparrals,78.0,242.2,41.8,91.9,0.455,0.4,1.5,0.242,41.4,90.3,0.458,26.0,36.0,0.721,,,51.7,17.2,,,18.3,25.6,109.9,1968,True,False
